item	itemNumber	block	type	shapeOne	shapeTwo	shapeThree	shapeFour	line	shapeFive	shapeSix	shapeSeven	shapeEight	sID	mode	onset_time	record_time	response	Other_keys
14	18.0	2	sample	octored	circleblue	octored	none	line	circleblue	octored	circleblue	none	16	prime	1308684413.179438	1.624285	9	
15	24.0	2	sample	heartblue	diablue	octoblue	circleblue	line	sqred	trired	heartred	diared	16	prime	1308684415.323386	9.440749	4	
16	7.0	2	sample	circleblue	heartgreen	circleblue	none	line	circleblue	heartgreen	circleblue	none	16	prime	1308684425.258894	1.112876	9	
17	10.0	2	sample	diared	triblack	octopurp	none	line	trigreen	octored	heartgreen	none	16	prime	1308684426.869322	3.695337	3	
18	73.0	2	sample	sqgreen	heartyellow	trired	none	line	none	diablue	circleblack	none	16	prime	1308684431.049007	1.736471	1	
19	51.0	2	sample	heartred	heartyellow	circlegreen	none	line	heartpurp	heartyellow	circlegreen	none	16	prime	1308684433.277983	1.346984	9	
20	57.0	2	sample	heartpurp	triyellow	circlered	octogreen	line	trigreen	octored	heartyellow	circlepurp	16	prime	1308684435.144539	2.397363	9	
21	35.0	2	sample	sqgreen	octoyellow	sqgreen	heartyellow	line	octogreen	octoyellow	sqyellow	heartyellow	16	prime	1308684438.051659	1.495591	9	
22	61.0	2	sample	circlered	diagreen	sqblack	heartgreen	line	circlered	heartpurp	sqblack	diablue	16	prime	1308684440.060193	1.823808	9	
23	40.0	2	sample	sqred	octopurp	circleblack	none	line	diayellow	triblue	heartgreen	none	16	prime	1308684442.379881	1.542553	1	
24	81.0	2	sample	diagreen	diablue	diagreen	none	line	none	diagreen	diagreen	none	16	prime	1308684444.404640	0.644754	9	
25	30.0	2	sample	heartred	diablack	sqred	diared	line	diablack	octoyellow	octoyellow	sqyellow	16	prime	1308684445.562761	6.762205	4	
26	22.0	2	sample	diapurp	heartyellow	diapurp	none	line	heartpurp	diayellow	diayellow	none	16	prime	1308684452.817254	2.755961	9	
27	103.0	2	sample	diapurp	diapurp	circlered	circlegreen	line	circleyellow	heartred	diagreen	none	16	prime	1308684456.077503	5.346091	7	
28	99.0	2	sample	diagreen	diagreen	heartblue	heartpurp	line	heartgreen	triblue	diapurp	none	16	prime	1308684461.928661	2.660284	7	
29	67.0	2	sample	octoblack	heartblue	sqyellow	diablack	line	heartblack	octoblue	sqyellow	octoyellow	16	prime	1308684465.101277	3.249836	7	
30	77.0	2	sample	circleyellow	heartpurp	diagreen	none	line	none	heartpurp	diagreen	none	16	prime	1308684468.832823	1.788702	7	
31	88.0	2	sample	sqgreen	triblue	diagreen	none	line	none	sqgreen	diagreen	none	16	prime	1308684471.104437	2.898022	7	
32	101.0	2	sample	circleyellow	circlered	triyellow	triblue	line	trired	heartyellow	circleblue	none	16	prime	1308684474.513512	3.715027	7	
33	53.0	2	sample	octoyellow	octoyellow	octoyellow	octoyellow	line	trigreen	trigreen	trigreen	trigreen	16	prime	1308684478.747251	1.155102	9	
34	8.0	2	sample	heartpurp	trigreen	octored	none	line	heartpurp	triblue	octopurp	none	16	prime	1308684480.400075	1.474482	9	
35	33.0	2	sample	octoyellow	triblack	circleyellow	circleblack	line	octoyellow	octoyellow	circleblack	circleblack	16	prime	1308684482.388485	4.474559	7	
36	82.0	2	sample	tripurp	circlegreen	tripurp	none	line	none	trigreen	trigreen	none	16	prime	1308684487.352469	1.946827	7	
37	16.0	2	sample	triblue	diagreen	triblue	none	line	triblue	diablue	triblue	none	16	prime	1308684489.801098	1.420629	9	
38	69.0	2	sample	heartblue	diagreen	triblue	octogreen	line	heartblue	diagreen	triblue	octogreen	16	prime	1308684491.739726	0.973576	9	
39	20.0	2	sample	circlered	triblue	circlered	none	line	circleblue	trired	circleblue	none	16	prime	1308684493.214232	0.725431	9	
40	26.0	2	sample	heartyellow	octoblue	diared	diapurp	line	triyellow	sqblue	circlered	circlepurp	16	prime	1308684494.456748	6.178438	1	
41	63.0	2	sample	circlegreen	triyellow	diapurp	octoblue	line	trigreen	circleyellow	heartpurp	sqblue	16	prime	1308684501.152303	6.609304	5	
42	71.0	2	sample	circlered	sqblack	octoyellow	circlepurp	line	circlered	sqblack	octoyellow	circlepurp	16	prime	1308684508.273818	1.062231	9	
43	105.0	2	sample	diablue	diablue	circleblack	circleyellow	line	circleblue	sqblack	diayellow	none	16	prime	1308684509.839763	2.147910	7	
44	85.0	2	sample	octoyellow	heartblue	circleyellow	none	line	none	octoblue	circleblue	none	16	prime	1308684512.472239	2.399093	7	
45	91.0	2	sample	none	sqred	circlered	none	line	sqred	diablack	circlered	none	16	prime	1308684515.355557	1.670322	7	
46	66.0	2	sample	sqyellow	trired	octoblack	diayellow	line	triyellow	sqred	octoblack	sqblack	16	prime	1308684517.541677	3.063918	8	
47	4.0	2	sample	sqblack	heartgreen	circleyellow	none	line	sqblack	heartgreen	diablue	none	16	prime	1308684521.096273	2.111328	8	
48	6.0	2	sample	circlered	heartblack	circlered	none	line	circlered	heartblack	circlered	none	16	prime	1308684523.702938	0.813990	9	
49	43.0	2	sample	heartyellow	octoblue	trired	none	line	tripurp	sqblack	diablue	none	16	prime	1308684525.014268	2.651451	3	
50	97.0	2	sample	diared	trired	triblack	none	line	diared	diablack	trired	triblack	16	prime	1308684528.177011	1.924935	9	
51	55.0	2	sample	heartred	heartred	heartblue	heartblue	line	triblue	tripurp	tripurp	circlered	16	prime	1308684530.623720	1.516707	1	
52	74.0	2	sample	sqblack	octoyellow	diablue	none	line	none	sqblue	octoyellow	none	16	prime	1308684532.622619	2.600390	7	
53	45.0	2	sample	trired	circlepurp	octoblue	none	line	octoblue	heartblack	trired	none	16	prime	1308684535.721461	3.462447	7	
54	92.0	2	sample	octogreen	sqpurp	triyellow	diablack	line	heartblue	circlered	octogreen	none	16	prime	1308684539.688860	4.334335	2	
55	94.0	2	sample	sqblue	sqyellow	triblue	triyellow	line	sqblue	triblue	triyellow	none	16	prime	1308684544.533594	1.743545	9	
56	27.0	2	sample	sqblack	heartgreen	diared	diayellow	line	circleblack	trigreen	octored	octoyellow	16	prime	1308684546.792473	5.268654	1	
57	46.0	2	sample	sqblack	octogreen	diablue	none	line	circleblack	octogreen	triblue	none	16	prime	1308684552.555015	3.218519	2	
58	1.0	2	sample	heartpurp	diablue	octogreen	none	line	circleyellow	trired	sqpurp	none	16	prime	1308684556.267965	3.632225	1	
59	34.0	2	sample	diablack	circlepurp	diablack	heartpurp	line	circleblack	circlepurp	diapurp	heartpurp	16	prime	1308684560.411631	1.659554	9	
60	13.0	2	sample	diablack	heartblue	diared	none	line	sqblack	diablue	sqred	none	16	prime	1308684562.564618	3.832168	6	
61	9.0	2	sample	octopurp	trired	circlegreen	none	line	octopurp	triyellow	circlepurp	none	16	prime	1308684566.893277	2.470075	9	
62	78.0	2	sample	sqred	tripurp	circleblack	none	line	none	sqred	tripurp	none	16	prime	1308684569.849493	1.419754	7	
63	42.0	2	sample	heartpurp	octoblue	diablack	none	line	diagreen	circleyellow	sqblue	none	16	prime	1308684571.762595	2.705194	4	
64	89.0	2	sample	diablack	tripurp	octoblack	none	line	none	diablack	octoblack	none	16	prime	1308684574.951103	2.234703	7	
65	84.0	2	sample	sqgreen	diablue	circlegreen	none	line	none	sqblue	circleblue	none	16	prime	1308684577.668741	1.406287	7	
66	5.0	2	sample	octoyellow	circlepurp	heartred	none	line	triblue	circlepurp	heartred	none	16	prime	1308684579.570806	2.885203	7	
67	96.0	2	sample	circlepurp	tripurp	triblack	none	line	circlepurp	circleblack	tripurp	triblack	16	prime	1308684582.964982	2.391252	9	
68	90.0	2	sample	none	heartblue	triblue	none	line	heartblue	diablack	triblue	none	16	prime	1308684585.844262	1.401322	7	
69	65.0	2	sample	sqgreen	circleyellow	sqblue	diablack	line	circleyellow	sqyellow	octopurp	diablack	16	prime	1308684587.756548	6.383352	7	
70	29.0	2	sample	circlepurp	triblack	circlepurp	triblue	line	circlepurp	heartblack	circlepurp	heartblue	16	prime	1308684594.656674	4.488234	5	
71	3.0	2	sample	sqblack	diayellow	octoblue	none	line	sqblack	trigreen	octoblue	none	16	prime	1308684599.639323	2.936262	5	
72	2.0	2	sample	diayellow	circleblack	sqgreen	none	line	sqred	trired	heartyellow	none	16	prime	1308684603.070091	4.493892	2	
73	56.0	2	sample	heartpurp	sqyellow	octoblue	circlered	line	sqred	circleblue	heartyellow	octopurp	16	prime	1308684608.078573	2.567967	9	
74	31.0	2	sample	heartblue	circlered	octoblue	circleblue	line	circlered	sqblack	sqblack	octoblack	16	prime	1308684611.161244	5.501378	3	
75	83.0	2	sample	heartpurp	octoblack	heartpurp	none	line	none	heartblack	heartblack	none	16	prime	1308684617.144217	1.523708	7	
76	14.0	2	sample	sqgreen	heartblack	sqgreen	none	line	sqgreen	heartred	sqgreen	none	16	prime	1308684619.157438	1.250691	9	
77	70.0	2	sample	triyellow	diablack	sqgreen	tripurp	line	triyellow	diablack	sqgreen	tripurp	16	prime	1308684620.926052	0.890726	9	
78	25.0	2	sample	sqred	circlered	trired	octored	line	diayellow	heartyellow	sqyellow	circleyellow	16	prime	1308684622.334079	6.294163	5	
79	19.0	2	sample	tripurp	diablack	tripurp	none	line	diablack	tripurp	diablack	none	16	prime	1308684629.124913	1.425869	9	
80	11.0	2	sample	sqpurp	heartred	circleyellow	none	line	heartblue	circlepurp	octoblue	none	16	prime	1308684631.044964	5.637724	2	
81	75.0	2	sample	octopurp	circleblue	diagreen	none	line	none	octogreen	circleblue	none	16	prime	1308684637.166258	3.179112	7	
82	49.0	2	sample	diared	heartyellow	circlegreen	none	line	circlegreen	heartyellow	diared	none	16	prime	1308684640.838229	2.341097	9	
83	98.0	2	sample	octored	octored	heartyellow	heartblue	line	heartred	triyellow	octoblue	none	16	prime	1308684643.687942	3.667792	7	
84	23.0	2	sample	circleyellow	diagreen	circleyellow	none	line	diayellow	circlegreen	circlegreen	none	16	prime	1308684647.848059	1.529648	9	
85	12.0	2	sample	sqred	triblack	sqgreen	none	line	diared	sqblack	diagreen	none	16	prime	1308684649.871144	2.721658	5	
86	36.0	2	sample	octoblue	trigreen	octoblue	trigreen	line	trigreen	octoblue	trigreen	octoblue	16	prime	1308684653.114829	1.002667	9	
87	79.0	2	sample	sqblue	heartyellow	circlegreen	none	line	none	sqblue	heartyellow	none	16	prime	1308684654.600508	1.223976	7	
88	52.0	2	sample	heartyellow	heartyellow	heartyellow	heartyellow	line	diapurp	diapurp	diapurp	diapurp	16	prime	1308684656.336227	1.228425	1	
89	47.0	2	sample	sqyellow	diablue	triblack	none	line	circleyellow	diablue	octoblack	none	16	prime	1308684658.059666	3.018487	3	
90	60.0	2	sample	octopurp	trired	circleyellow	diared	line	octopurp	diablack	circleyellow	trigreen	16	prime	1308684661.594999	2.864042	9	48 2.18524503708
91	62.0	2	sample	heartpurp	sqblack	diablue	circlegreen	line	sqpurp	heartblack	octoblue	trigreen	16	prime	1308684664.973054	4.573950	5	
92	44.0	2	sample	triyellow	sqgreen	octopurp	none	line	octopurp	diablack	triyellow	none	16	prime	1308684670.041771	3.018645	6	
93	15.0	2	sample	sqpurp	octoblack	sqpurp	none	line	sqpurp	octoblue	sqpurp	none	16	prime	1308684673.550102	1.731128	9	
94	72.0	2	sample	circlegreen	heartred	sqblue	none	line	none	triblack	octoyellow	none	16	prime	1308684675.766346	1.702505	1	
95	21.0	2	sample	circleblue	octoyellow	circleblue	none	line	circleyellow	octoblue	circleyellow	none	16	prime	1308684677.963616	1.643087	9	
96	59.0	2	sample	octogreen	diapurp	diablue	heartyellow	line	circlered	circlepurp	circleblue	heartyellow	16	prime	1308684680.121449	2.700410	2	
97	28.0	2	sample	sqred	circlegreen	sqred	circlepurp	line	sqred	trigreen	sqred	tripurp	16	prime	1308684683.338661	2.698465	5	
98	95.0	2	sample	sqblack	sqblue	circleblack	circleblue	line	sqblack	circleblack	circleblue	none	16	prime	1308684686.539529	1.469743	9	
99	68.0	2	sample	triblue	octoblack	diablue	circleblack	line	triblue	octoblack	diablue	circleblack	16	prime	1308684688.526953	1.321869	9	
100	39.0	2	sample	circleyellow	circleyellow	octored	sqred	line	circleyellow	octoyellow	circlered	octored	16	prime	1308684690.364810	1.605449	9	
101	93.0	2	sample	trigreen	octored	heartblue	diayellow	line	circleblack	sqpurp	trigreen	none	16	prime	1308684692.476975	4.614215	2	
102	48.0	2	sample	heartpurp	octoblue	diared	none	line	diared	octoblue	heartpurp	none	16	prime	1308684697.585446	1.710037	9	
103	37.0	2	sample	triyellow	diapurp	triyellow	diapurp	line	diapurp	triyellow	diapurp	triyellow	16	prime	1308684699.815065	1.353097	9	
104	58.0	2	sample	circleblack	sqgreen	sqblue	octored	line	diapurp	diagreen	diablue	octored	16	prime	1308684701.682937	2.286077	2	
item	itemNumber	block	type	shapeOne	shapeTwo	shapeThree	shapeFour	line	shapeFive	shapeSix	shapeSeven	shapeEight	sID	mode	onset_time	record_time	response	Other_keys
0	62.0	2	sample	tripurp	octoyellow	circleblack	sqblue	line	octopurp	triyellow	heartblack	diablue	17	prime	1308687196.344217	4.267624	2	
1	12.0	2	sample	octoyellow	sqred	octopurp	none	line	diayellow	octored	diapurp	none	17	prime	1308687201.107990	2.536777	2	
2	2.0	2	sample	heartpurp	octoblack	diablue	none	line	diayellow	triyellow	circlepurp	none	17	prime	1308687204.141529	3.745987	2	
3	81.0	2	sample	circleyellow	circlered	circleyellow	none	line	none	circleyellow	circleyellow	none	17	prime	1308687208.371951	1.139793	8	
4	73.0	2	sample	circleblue	triyellow	sqred	none	line	none	diablack	heartpurp	none	17	prime	1308687209.998421	1.866708	1	
5	102.0	2	sample	circlepurp	circlepurp	diagreen	diared	line	diablue	heartgreen	circlered	none	17	prime	1308687212.371075	2.129157	2	
6	76.0	2	sample	diagreen	octopurp	sqblue	none	line	none	octopurp	sqblue	none	17	prime	1308687214.982384	1.374121	8	
7	78.0	2	sample	circlegreen	tripurp	octoyellow	none	line	none	circlegreen	tripurp	none	17	prime	1308687216.842821	1.237248	8	
8	47.0	2	sample	octopurp	heartyellow	circleblack	none	line	diapurp	heartyellow	triblack	none	17	prime	1308687218.575776	2.122886	1	
9	30.0	2	sample	octopurp	diared	tripurp	diapurp	line	diared	heartyellow	heartyellow	triyellow	17	prime	1308687221.215547	1.803398	1	
10	35.0	2	sample	trired	circlepurp	trired	sqpurp	line	circlered	circlepurp	tripurp	sqpurp	17	prime	1308687223.538890	2.943929	1	
11	68.0	2	sample	tripurp	octoblack	sqpurp	circleblack	line	tripurp	octoblack	sqpurp	circleblack	17	prime	1308687226.996744	1.822768	9	
12	1.0	2	sample	diablack	triyellow	heartpurp	none	line	sqblue	octogreen	circleblack	none	17	prime	1308687229.314935	1.278021	1	
13	10.0	2	sample	sqblack	diayellow	heartblue	none	line	diapurp	heartblack	tripurp	none	17	prime	1308687231.088035	1.725727	2	
14	53.0	2	sample	sqyellow	sqyellow	sqyellow	sqyellow	line	diapurp	diapurp	diapurp	diapurp	17	prime	1308687233.322885	1.910482	1	
15	45.0	2	sample	sqblack	heartpurp	octored	none	line	octored	trigreen	sqblack	none	17	prime	1308687235.729057	2.354939	1	
16	79.0	2	sample	diagreen	octoblack	heartpurp	none	line	none	diagreen	octoblack	none	17	prime	1308687238.565923	1.374254	8	
17	63.0	2	sample	heartred	triblue	sqyellow	diapurp	line	trired	heartblue	circleyellow	octopurp	17	prime	1308687240.460075	3.076590	4	
18	49.0	2	sample	heartred	circlegreen	sqpurp	none	line	sqpurp	circlegreen	heartred	none	17	prime	1308687244.028100	1.613312	9	
19	97.0	2	sample	heartblue	triblue	triyellow	none	line	heartblue	heartyellow	triblue	triyellow	17	prime	1308687246.153508	2.040174	8	
20	82.0	2	sample	circlegreen	diayellow	circlegreen	none	line	none	circleyellow	circleyellow	none	17	prime	1308687248.676126	1.208007	8	
21	33.0	2	sample	octored	triyellow	heartred	heartyellow	line	octored	octored	heartyellow	heartyellow	17	prime	1308687250.401961	2.299729	8	
22	44.0	2	sample	sqblue	circlepurp	diablack	none	line	diablack	trired	sqblue	none	17	prime	1308687253.196842	2.537692	7	
23	99.0	2	sample	octopurp	octopurp	sqblue	sqblack	line	sqpurp	circleblue	octoblack	none	17	prime	1308687256.236063	3.177751	5	
24	98.0	2	sample	diablue	diablue	circleblack	circlepurp	line	circleblue	heartblack	diapurp	none	17	prime	1308687259.917450	2.446355	1	
25	86.0	2	sample	none	circleblue	heartblue	none	line	circlered	diablue	heartred	none	17	prime	1308687262.849574	1.635619	8	
26	94.0	2	sample	octored	octogreen	sqred	sqgreen	line	octored	sqred	sqgreen	none	17	prime	1308687264.988905	1.468532	9	
27	103.0	2	sample	heartblack	heartblack	trired	triblue	line	triyellow	diared	heartblue	none	17	prime	1308687266.967792	2.704845	6	
28	87.0	2	sample	none	heartred	trired	none	line	heartyellow	sqred	triyellow	none	17	prime	1308687270.160330	1.501119	8	
29	56.0	2	sample	heartgreen	octoblue	trired	diayellow	line	octoyellow	diared	heartblue	trigreen	17	prime	1308687272.181135	3.623600	9	
30	71.0	2	sample	sqgreen	tripurp	heartyellow	sqblack	line	sqgreen	tripurp	heartyellow	sqblack	17	prime	1308687276.316943	1.758303	9	
31	64.0	2	sample	octored	triblack	octogreen	heartyellow	line	triblack	octoblack	circleblue	heartyellow	17	prime	1308687278.593173	3.642051	8	
32	89.0	2	sample	trired	heartyellow	sqred	none	line	none	trired	sqred	none	17	prime	1308687282.722808	1.567424	8	
33	20.0	2	sample	octored	heartgreen	octored	none	line	octogreen	heartred	octogreen	none	17	prime	1308687284.784876	1.494137	9	
34	54.0	2	sample	heartpurp	heartpurp	heartblue	heartblue	line	sqblue	sqyellow	sqyellow	tripurp	17	prime	1308687286.792888	1.358911	8	
35	13.0	2	sample	triblack	octored	trigreen	none	line	circleblack	trired	circlegreen	none	17	prime	1308687288.651374	2.897994	4	
36	23.0	2	sample	sqpurp	diablue	sqpurp	none	line	diapurp	sqblue	sqblue	none	17	prime	1308687292.040377	1.928619	9	
37	25.0	2	sample	heartpurp	tripurp	octopurp	circlepurp	line	sqyellow	diayellow	heartyellow	triyellow	17	prime	1308687294.484820	2.815447	2	
38	83.0	2	sample	diared	circlepurp	diared	none	line	none	diapurp	diapurp	none	17	prime	1308687297.782837	1.290778	8	
39	43.0	2	sample	trired	circlepurp	octoblue	none	line	octogreen	heartyellow	sqpurp	none	17	prime	1308687299.568585	2.024162	2	
40	27.0	2	sample	tripurp	diagreen	heartblue	heartblack	line	octopurp	circlegreen	sqblue	sqblack	17	prime	1308687302.106816	1.275885	2	
41	66.0	2	sample	circlered	heartblack	sqgreen	octored	line	heartred	circleblack	sqgreen	circlegreen	17	prime	1308687303.895717	2.619321	2	
42	40.0	2	sample	heartpurp	octoyellow	sqblack	none	line	diablue	circlered	trigreen	none	17	prime	1308687307.009679	2.869672	2	
43	77.0	2	sample	sqyellow	circleblue	tripurp	none	line	none	circleblue	tripurp	none	17	prime	1308687310.365730	2.331146	8	
44	55.0	2	sample	triyellow	triyellow	trired	trired	line	sqred	sqblack	sqblack	diayellow	17	prime	1308687313.216542	1.585039	2	
45	74.0	2	sample	diagreen	triblue	octoblack	none	line	none	diablack	triblue	none	17	prime	1308687315.288752	1.833101	8	
46	37.0	2	sample	sqgreen	diayellow	sqgreen	diayellow	line	diayellow	sqgreen	diayellow	sqgreen	17	prime	1308687317.630942	2.208920	9	
47	38.0	2	sample	sqpurp	sqpurp	heartgreen	diagreen	line	sqpurp	heartpurp	sqgreen	heartgreen	17	prime	1308687320.349078	2.407675	2	
48	28.0	2	sample	diagreen	sqyellow	diagreen	sqpurp	line	diagreen	circleyellow	diagreen	circlepurp	17	prime	1308687323.267714	1.908807	9	
49	90.0	2	sample	none	octoblack	heartblack	none	line	octoblack	diagreen	heartblack	none	17	prime	1308687325.658354	1.192038	8	
50	22.0	2	sample	sqpurp	diagreen	sqpurp	none	line	diapurp	sqgreen	sqgreen	none	17	prime	1308687327.339422	1.532957	9	
51	34.0	2	sample	octoblack	diapurp	octoblack	tripurp	line	diablack	diapurp	octopurp	tripurp	17	prime	1308687329.387656	5.219003	8	
52	84.0	2	sample	diared	trigreen	circlered	none	line	none	diagreen	circlegreen	none	17	prime	1308687335.092387	2.398034	9	
53	42.0	2	sample	heartgreen	triblack	circlered	none	line	circlepurp	diablue	sqblack	none	17	prime	1308687337.984962	1.958320	2	
54	4.0	2	sample	heartblack	diablue	circlegreen	none	line	heartblack	diablue	sqyellow	none	17	prime	1308687340.435239	1.911111	2	
55	46.0	2	sample	sqred	diayellow	trigreen	none	line	heartred	diayellow	octogreen	none	17	prime	1308687342.841769	1.692280	2	
56	61.0	2	sample	circlepurp	heartred	diablack	octored	line	circlepurp	octogreen	diablack	heartblue	17	prime	1308687345.048356	2.700981	5	
57	15.0	2	sample	octoblack	circleblue	octoblack	none	line	octoblack	circleyellow	octoblack	none	17	prime	1308687348.242082	1.562344	9	
58	41.0	2	sample	heartgreen	circlered	octoyellow	none	line	sqpurp	diablue	triblack	none	17	prime	1308687350.299348	2.504765	2	
59	85.0	2	sample	diablue	sqred	octoblue	none	line	none	diared	octored	none	17	prime	1308687353.289355	2.746525	9	
60	91.0	2	sample	none	sqblue	circleblue	none	line	sqblue	triyellow	circleblue	none	17	prime	1308687356.521858	1.469673	8	
61	18.0	2	sample	diablack	triyellow	diablack	none	line	triyellow	diablack	triyellow	none	17	prime	1308687358.489241	2.352908	8	
62	31.0	2	sample	diagreen	circlepurp	heartgreen	circlegreen	line	circlepurp	triblue	triblue	heartblue	17	prime	1308687361.359902	4.752522	5	
63	72.0	2	sample	trigreen	diared	octopurp	none	line	none	sqyellow	circleblue	none	17	prime	1308687366.597269	2.813306	1	
64	19.0	2	sample	sqred	diagreen	sqred	none	line	diagreen	sqred	diagreen	none	17	prime	1308687369.903123	3.717083	6	
65	11.0	2	sample	sqyellow	octored	circleblue	none	line	octopurp	circleyellow	diapurp	none	17	prime	1308687374.113971	2.522548	1	
66	17.0	2	sample	sqyellow	octoblue	sqyellow	none	line	sqyellow	octoyellow	sqyellow	none	17	prime	1308687377.126693	2.144987	9	
67	104.0	2	sample	diablack	diablack	circleblue	circlegreen	line	circleblack	heartblue	diagreen	none	17	prime	1308687379.775548	5.081217	3	
68	51.0	2	sample	circleblue	circlered	sqblack	none	line	circleyellow	circlered	sqblack	none	17	prime	1308687385.350213	1.263306	9	
69	9.0	2	sample	sqred	triblack	diapurp	none	line	sqred	trigreen	diared	none	17	prime	1308687387.110486	2.171328	9	
70	75.0	2	sample	triblue	heartblack	circleyellow	none	line	none	triyellow	heartblack	none	17	prime	1308687389.768206	3.060276	7	
71	7.0	2	sample	diayellow	heartred	diayellow	none	line	diayellow	heartred	diayellow	none	17	prime	1308687393.322234	1.229891	9	
72	39.0	2	sample	triyellow	triyellow	circleblue	heartblue	line	triyellow	circleyellow	triblue	circleblue	17	prime	1308687395.075210	2.294428	8	
73	21.0	2	sample	circlered	octoyellow	circlered	none	line	circleyellow	octored	circleyellow	none	17	prime	1308687397.865265	2.255534	9	
74	24.0	2	sample	heartgreen	sqgreen	octogreen	trigreen	line	diapurp	circlepurp	heartpurp	sqpurp	17	prime	1308687400.633163	5.172182	2	
75	50.0	2	sample	octopurp	octogreen	diablue	none	line	octoblack	octogreen	diablue	none	17	prime	1308687406.297983	1.181332	9	
76	8.0	2	sample	circleblue	octoblack	sqred	none	line	circleblue	octogreen	sqblue	none	17	prime	1308687407.973614	1.444731	9	
77	58.0	2	sample	diapurp	sqblue	sqblack	circleyellow	line	trired	triblue	triblack	circleyellow	17	prime	1308687409.937071	1.867794	1	
78	100.0	2	sample	diagreen	diablack	octogreen	octored	line	octoblack	trigreen	diared	none	17	prime	1308687412.310485	3.587998	5	
79	6.0	2	sample	octoblack	trired	octoblack	none	line	octoblack	trired	octoblack	none	17	prime	1308687416.394935	1.343170	9	
80	3.0	2	sample	triblack	sqblue	diayellow	none	line	triblack	heartgreen	diayellow	none	17	prime	1308687418.234560	3.348548	6	
81	88.0	2	sample	sqblue	diablack	circleblue	none	line	none	sqblue	circleblue	none	17	prime	1308687422.067272	1.803405	7	
82	60.0	2	sample	trired	sqpurp	octoblack	heartpurp	line	trired	heartblue	octoblack	sqgreen	17	prime	1308687424.386337	2.616197	9	
83	5.0	2	sample	sqblue	octored	diagreen	none	line	heartyellow	octored	diagreen	none	17	prime	1308687427.497150	4.261946	6	
84	59.0	2	sample	sqgreen	octoblack	octored	heartyellow	line	diablue	diablack	diared	heartyellow	17	prime	1308687432.272794	4.375481	2	
85	57.0	2	sample	circlepurp	sqblack	triyellow	octored	line	sqred	octoyellow	circleblack	tripurp	17	prime	1308687437.164929	2.930572	9	
86	95.0	2	sample	octoblue	octogreen	sqblue	sqgreen	line	octoblue	sqblue	sqgreen	none	17	prime	1308687440.597910	1.618964	8	
87	92.0	2	sample	sqgreen	diablack	octopurp	circleyellow	line	trired	heartblue	sqgreen	none	17	prime	1308687442.720992	3.407152	2	
88	16.0	2	sample	heartred	diapurp	heartred	none	line	heartred	diared	heartred	none	17	prime	1308687446.623193	1.095966	9	
89	80.0	2	sample	circlegreen	circlepurp	circlegreen	none	line	none	circlegreen	circlegreen	none	17	prime	1308687448.201038	1.556622	7	
90	52.0	2	sample	triyellow	triyellow	triyellow	triyellow	line	diablue	diablue	diablue	diablue	17	prime	1308687450.278875	1.732731	2	
91	70.0	2	sample	triblack	heartred	circlepurp	triyellow	line	triblack	heartred	circlepurp	triyellow	17	prime	1308687452.533118	1.467370	9	
92	32.0	2	sample	heartgreen	octoblack	trigreen	triblack	line	heartgreen	heartgreen	triblack	triblack	17	prime	1308687454.519388	2.099585	8	
93	48.0	2	sample	sqred	octogreen	triblue	none	line	triblue	octogreen	sqred	none	17	prime	1308687457.116708	1.905374	9	
94	29.0	2	sample	sqgreen	circleblack	sqgreen	circleblue	line	sqgreen	heartblack	sqgreen	heartblue	17	prime	1308687459.532534	2.406496	2	
95	93.0	2	sample	octoblue	circlepurp	sqgreen	diayellow	line	heartblack	trired	octoblue	none	17	prime	1308687462.444999	1.764555	2	
96	69.0	2	sample	octoblack	circlered	sqblack	trired	line	octoblack	circlered	sqblack	trired	17	prime	1308687464.726541	1.521500	9	
97	96.0	2	sample	triblue	heartblue	heartyellow	none	line	triblue	triyellow	heartblue	heartyellow	17	prime	1308687466.758543	1.445209	8	
98	101.0	2	sample	circleblack	circlered	octoblack	octopurp	line	octored	sqblack	circlepurp	none	17	prime	1308687468.707337	3.291614	2	
99	67.0	2	sample	diagreen	octopurp	heartblue	circlegreen	line	octogreen	diapurp	heartblue	diablue	17	prime	1308687472.512802	5.253654	7	
100	36.0	2	sample	sqblue	circleblack	sqblue	circleblack	line	circleblack	sqblue	circleblack	sqblue	17	prime	1308687478.278792	1.542751	9	
101	14.0	2	sample	heartblack	trigreen	heartblack	none	line	heartblack	tripurp	heartblack	none	17	prime	1308687480.317140	2.122986	9	
102	26.0	2	sample	triblue	heartblack	diayellow	diared	line	sqblue	octoblack	circleyellow	circlered	17	prime	1308687482.956853	2.052170	3	
103	105.0	2	sample	heartpurp	heartpurp	triblue	trigreen	line	tripurp	octoblue	heartgreen	none	17	prime	1308687485.517449	3.551945	6	
104	65.0	2	sample	octoblack	sqgreen	octored	heartblue	line	sqgreen	octogreen	circleyellow	heartblue	17	prime	1308687489.582445	3.000548	8	
item	itemNumber	block	type	shapeOne	shapeTwo	shapeThree	shapeFour	line	shapeFive	shapeSix	shapeSeven	shapeEight	sID	mode	onset_time	record_time	response	Other_keys
0	14.0	2	sample	circleyellow	octored	circleyellow	none	line	circleyellow	octopurp	circleyellow	none	18	prime	1308687326.258984	5.073560	8	
1	105.0	2	sample	circleblack	circleblack	trired	tripurp	line	triblack	diared	circlepurp	none	18	prime	1308687331.845653	3.348385	6	
